start_time,end_time,wav_file,emotion,V,A,D,speaker,transcriptions
37.19,40.53,Ses01F_impro04_M005,neu,3.0,3.0,3.0,Ses01M,He's like a manager for a theatre.
40.54,43.576,Ses01F_impro04_M006,neu,3.0,3.5,2.5,Ses01M,He's like a house manager. Yeah.  It's a good job.
49.39,50.58,Ses01F_impro04_M007,neu,3.5,3.0,2.5,Ses01M,You did?
55.21,56.33,Ses01F_impro04_M008,neu,3.0,3.0,2.5,Ses01M,Yeah.
56.35,59.0245,Ses01F_impro04_M009,neu,3.0,3.0,3.0,Ses01M,You've been looking for a job for a long time; that was a long time ago.  Right?
59.8,61.55,Ses01F_impro04_M010,neu,3.0,2.5,2.0,Ses01M,Hmm.
65.97,69.77,Ses01F_impro04_M011,neu,3.0,3.0,2.5,Ses01M,I don't know.  He had a really good resume I guess and--
70.38,72.7264,Ses01F_impro04_M012,neu,3.0,3.0,2.5,Ses01M,Yeah.  Do you have a resume?
73.7473,77.15,Ses01F_impro04_M013,neu,3.0,2.0,3.0,Ses01M,It's kind of helpful when getting a job.
80.1435,87.81,Ses01F_impro04_M014,neu,3.5,3.5,3.5,Ses01M,Well maybe we should sit down some time and you can just tell me all the stuff that you have done and I'll write it out.
92.37,99.27,Ses01F_impro04_M015,neu,2.5,3.5,3.0,Ses01M,"No.  You can- or you can just bring it in person.  But they need, generally, something to see, you know, what kind of what that you've done, what kind of--"
100.485,103.47,Ses01F_impro04_M016,neu,3.0,2.5,2.5,Ses01M,"Yeah.  But the piece of paper helps, too."
104.97,107.78,Ses01F_impro04_M017,neu,3.0,3.5,3.0,Ses01M,"No.  But it has an outline, you know."
111.66,117.725,Ses01F_impro04_M018,neu,3.0,3.5,3.0,Ses01M,"I know.  Okay.  Well, um. Maybe--"
118.46,119.77,Ses01F_impro04_M019,neu,3.0,2.5,2.5,Ses01M,Yeah.
121.5,123.42,Ses01F_impro04_M020,neu,3.0,2.5,2.5,Ses01M,"Okay, yeah.  I would imagine."
129.43,139.16,Ses01F_impro04_M021,neu,3.5,3.5,3.0,Ses01M,"Well, sometimes you have to do things that you don't necessarily like to do to have a job. But the job affords you money, you won't have to be taking the bus right now."
139.5219,141.8225,Ses01F_impro04_M022,neu,3.0,2.5,2.5,Ses01M,maybe get a car.
144.9125,149.51,Ses01F_impro04_M023,neu,2.5,2.5,2.0,Ses01M,"I just, you know, think you should try a little harder maybe."
151.84,154.03,Ses01F_impro04_M024,neu,3.0,2.5,3.0,Ses01M,I didn't say that.
154.6,157.8,Ses01F_impro04_M025,neu,3.0,3.5,3.5,Ses01M,"I am riding the bus, but by choice."
158.95,161.35,Ses01F_impro04_M026,neu,3.5,3.0,3.0,Ses01M,"To save the environment, carpool."
162.12,164.7825,Ses01F_impro04_M027,neu,3.5,3.5,3.5,Ses01M,Yes.  One less car at a time.
165.47,166.71,Ses01F_impro04_M028,neu,3.0,2.5,2.0,Ses01M,Mmhmm.
178.0033,180.865,Ses01F_impro04_M031,neu,3.0,2.5,2.5,Ses01M,I don't think I'm anyone.
182.82,185.54,Ses01F_impro04_M032,neu,2.5,2.0,1.5,Ses01M,I- I-I didn't-- okay.
33.78,35.9,Ses01F_impro05_F008,ang,2.5,2.5,3.5,Ses01F,Flight seven fourteen.
36.71,44.03,Ses01F_impro05_F009,ang,2.5,2.5,3.5,Ses01F,"Am I going to be getting, like, free tickets, free mileage. When can I expect my bag here?"
73.87,75.5375,Ses01F_impro05_F011,ang,2.0,4.5,3.5,Ses01F,Is this a joke?
75.61,80.73,Ses01F_impro05_F012,ang,2.5,3.5,3.0,Ses01F,"Are there candid cameras?  Is this that movie? There's that show, right?  Airplane, airline."
99.52,102.9,Ses01F_impro05_F014,ang,1.5,4.0,4.0,Ses01F,"You're kidding me, this is a joke."
103.005,118.5,Ses01F_impro05_F015,ang,1.5,4.5,4.5,Ses01F,Do you have any idea-- fifty dollars?  That's supposed to replace everything that I have?  Do you understand how much I have packed in there? Not only does it have sentimental value; it can't be replaced like that.  It was incredibly expensive.
118.53,122.44,Ses01F_impro05_F016,ang,1.5,4.5,4.0,Ses01F,We flew in from Paris.  I've been shopping for three weeks.
127.485,136.85,Ses01F_impro05_F017,ang,1.5,5.0,4.5,Ses01F,I don't care what you're freaking sign says.  Somebody- Somebody needs to replace everything I've got there and give me money for my inconvenience.
137.715,140.11,Ses01F_impro05_F018,ang,1.5,4.0,4.0,Ses01F,Do you understand who my husband is?
140.225,145.6,Ses01F_impro05_F019,ang,1.5,4.0,4.5,Ses01F,"If you're- if you're- if you're looking for a lawsuit, baby, you've found it."
149.365,153.8,Ses01F_impro05_F020,ang,1.5,4.5,4.5,Ses01F,Oh-Oh.  It's a gift.  You're-You're helping me out here?
155.6,160.36,Ses01F_impro05_F021,ang,1.5,4.5,4.5,Ses01F,You are cruising for a bruising.  You are in so much trouble.
160.41,163.7975,Ses01F_impro05_F022,ang,1.5,4.5,4.0,Ses01F,Who's in charge?  Who is the president of Jet Blue?
163.88,165.8,Ses01F_impro05_F023,ang,2.0,3.0,4.0,Ses01F,Because I probably know him.
166.33,167.71,Ses01F_impro05_F024,ang,2.0,3.0,4.0,Ses01F,Yeah.
171.09,174.2,Ses01F_impro05_F025,ang,1.5,4.5,4.5,Ses01F,"I don't want money, I want my clothes."
177.6025,179.09,Ses01F_impro05_F026,ang,2.0,3.5,3.5,Ses01F,What's your name?
188.78,190.8975,Ses01F_impro05_F028,ang,2.0,3.0,4.0,Ses01F,Okay.  I'll do that.
195.38,199.33,Ses01F_impro05_F029,ang,1.5,3.0,3.5,Ses01F,I don't think you have done everything you could do because I don't have my bag here yet.
202.86,206.17,Ses01F_impro05_F030,ang,2.0,3.0,3.5,Ses01F,A letter? I'll make a personal phone call.
3.61,5.19,Ses01F_impro05_M000,neu,4.0,2.5,2.0,Ses01M,Hi.  Thanks for waiting.
5.21,6.44,Ses01F_impro05_M001,hap,4.0,2.5,2.0,Ses01M,Can I help you?
6.6,7.71,Ses01F_impro05_M002,hap,4.0,2.5,2.0,Ses01M,Uh huh.
8.32,9.8,Ses01F_impro05_M003,neu,4.0,2.5,2.0,Ses01M,Okay.
12.26,13.78,Ses01F_impro05_M004,neu,3.5,1.5,2.0,Ses01M,Okay.
21.84,25.9,Ses01F_impro05_M005,neu,3.5,2.5,2.0,Ses01M,Okay.  Great.  I'm really sorry that you had to do that.  What's your last name?  Let's start there.
25.99,27.7272,Ses01F_impro05_M006,neu,3.5,2.5,2.0,Ses01M,Okay.
28.29,34.1425,Ses01F_impro05_M007,neu,3.5,2.5,2.0,Ses01M,all right- okay.  And you lost your bag? Is that- that the issue?
34.7,36.52,Ses01F_impro05_M008,neu,3.0,2.5,2.0,Ses01M,Uh-huh.
36.91,42.76,Ses01F_impro05_M009,neu,2.5,2.5,2.0,Ses01M,"Yeah. Yeah, I don't see- I don't see any--"
43.86,49.97,Ses01F_impro05_M010,neu,2.5,2.5,2.0,Ses01M,"I don't see any record of it, and I-usually when I don't see a record of it, that means um-"
49.97,70.26,Ses01F_impro05_M011,neu,2.5,2.5,2.0,Ses01M,"we've mistakenly lost your baggage.  We're very sorry.  On behalf of Jet Blue I would like to apologize for any inconvenience.  I am allowed to issue you a fifty dollar gift card which you can use any future flights you want to take with us.  I'm very sorry, once again..."
70.38,73.14,Ses01F_impro05_M012,neu,2.5,2.0,1.5,Ses01M,"for such an inconvenience and your bag, but"
73.55,74.99,Ses01F_impro05_M013,neu,2.5,2.0,1.5,Ses01M,Yeah.
75.03,76.48,Ses01F_impro05_M014,neu,2.5,2.5,1.5,Ses01M,"No, no."
80.22,83.2425,Ses01F_impro05_M015,neu,2.5,2.0,1.5,Ses01M,"No, no.  This is real."
85.72,93.9575,Ses01F_impro05_M016,neu,2.5,2.5,2.0,Ses01M,"No.  I'm just giving you money, the bag is gone.  If it's not here, I'm really sorry there is nothing I can do because..."
94.005,100.4,Ses01F_impro05_M017,neu,2.5,2.5,2.5,Ses01M,this is the only track record that we have and if it's not listed here then it's probably not anywhere.
111.28,112.81,Ses01F_impro05_M019,neu,2.5,2.0,2.0,Ses01M,Yes.
118.04,119.37,Ses01F_impro05_M020,neu,2.5,2.0,2.0,Ses01M,I know.
131.02,133.25,Ses01F_impro05_M022,neu,2.5,2.0,2.0,Ses01M,Okay. Calm-
136.19,143.5,Ses01F_impro05_M023,neu,2.5,3.5,2.5,Ses01M,"Actually, we are not necessarily liable to give you- to even give you this fifty dollars so... it's actually- it's actually really"
144.85,151.16,Ses01F_impro05_M024,neu,2.5,3.0,2.5,Ses01M,"We are actually not even allowed--  you know, like we don't have to give you this fifty dollars.  We don't have to do that."
151.335,152.71,Ses01F_impro05_M025,neu,2.5,2.5,2.0,Ses01M,It's a gift.
152.8325,158.58,Ses01F_impro05_M026,neu,2.5,2.5,2.5,Ses01M,"You know, the airlines can not be held responsible for every bag of luggage that comes through here."
159.66,161.37,Ses01F_impro05_M027,neu,2.5,2.5,2.0,Ses01M,With the amount of--
163.25,166.99,Ses01F_impro05_M028,neu,2.5,2.5,2.0,Ses01M,"Um, actually, I don't know. I don't know. Oh really?"
167.15,173.63,Ses01F_impro05_M029,neu,2.5,2.5,2.5,Ses01M,Well then maybe you can just call him and he can give you more money.  But right now all I can do--
173.7325,178.2625,Ses01F_impro05_M030,neu,3.0,2.5,2.0,Ses01M,"Right now all I can do is just give you this fifty dollars, I'm really sorry."
178.59,180.87,Ses01F_impro05_M031,neu,3.0,2.5,2.5,Ses01M,Oh.  My name is Sean. Hi.
198.66,205.17,Ses01F_impro05_M034,neu,2.5,2.5,2.5,Ses01M,"If you want, you can write a letter.  I can give you the address. Yes.  An angry--"
205.63,211.94,Ses01F_impro05_M035,neu,2.5,2.0,1.5,Ses01M,"Or you can make a phone call.  But I think a letter might be a little more-- in my impression, letters have more..."
26.07,27.65,Ses01F_impro06_F002,sad,2.0,1.5,2.5,Ses01F,No.
34.45,35.78,Ses01F_impro06_F003,neu,3.0,2.0,2.5,Ses01F,That's sweet.
36.07,38.04,Ses01F_impro06_F004,neu,3.5,2.0,3.0,Ses01F,Thank you.
39.6025,46.29,Ses01F_impro06_F005,sad,2.0,2.0,4.0,Ses01F,I went to see her headstone a week or two ago.
47.34,59.38,Ses01F_impro06_F006,sad,3.5,3.0,4.0,Ses01F,"I used to go to cemeteries a lot before she died.  I just, you know, I felt like they were urban oasis, you know, there is always this green in the city."
59.4525,67.4525,Ses01F_impro06_F007,sad,3.5,3.0,4.0,Ses01F,So I was like wandering around before.  It takes forever to find her headstone; I always lose it. You know.
70.22,80.13,Ses01F_impro06_F008,sad,2.5,3.5,3.5,Ses01F,So I was looking at this other one and there was like a piece of candy there and I thought that I would take the candy and put it on her headstone.  And-
80.16,87.74,Ses01F_impro06_F009,neu,2.5,3.0,3.5,Ses01F,"this woman came up and, you know, it was hers. It was her person that was there."
87.83,93.67,Ses01F_impro06_F010,sad,2.0,2.5,3.5,Ses01F,"Yeah.  And she was like, that's pathetic, I hope you enjoy it."
101.83,116.91,Ses01F_impro06_F011,sad,2.0,3.0,4.0,Ses01F,"And I, you know, I mean, I said I was sorry and I brought it back to her kind of and I like put it on the ground and she was like, no, it's fine.  She was like, I would rather have her back, honestly."
117.07,126.04,Ses01F_impro06_F012,sad,2.0,3.5,4.5,Ses01F,"I don't know.  It just, like, I felt so bad because I shouldn't have done it.  I don't know.  Whatever."
132.9575,134.49,Ses01F_impro06_F013,sad,2.0,2.0,2.0,Ses01F,I don't know.
135.96,137.95,Ses01F_impro06_F014,sad,3.0,3.0,2.5,Ses01F,At the cemetery?
138.0685,141.05,Ses01F_impro06_F015,sad,2.0,2.0,2.5,Ses01F,couple hours.
141.84,149.4375,Ses01F_impro06_F016,neu,4.0,3.0,3.5,Ses01F,"I brought- I brought Chuck with me. He went to Redlands, yeah, for the day.  We ran through the sprinklers."
167.64,174.84,Ses01F_impro06_F018,neu,4.0,3.0,3.5,Ses01F,Yeah.  It's huge.  Redlands is an old city so they have lots and lots of stones.
176.35,178.01,Ses01F_impro06_F019,neu,2.5,2.0,2.5,Ses01F,Yeah.
182.56,197.73,Ses01F_impro06_F020,sad,2.5,3.0,4.0,Ses01F,"It's weird.  Whenever I go back to town, I think of her.  I mean, it's like ... I mean we grew up together and she died when we were twenty one.  And yeah.  She had cancer, she had two brain tumors."
197.755,214.34,Ses01F_impro06_F021,sad,2.0,3.0,4.0,Ses01F,"My best friend Heather.  She's got a- we have a- we built this like little--  There's a park, Prospect Park.  And there is like a garden section of it that we set up for her."
217.5,222.41,Ses01F_impro06_F022,sad,4.0,3.0,3.5,Ses01F,She used to have these poetry parties on Memorial Day.
223.52,227.55,Ses01F_impro06_F023,sad,2.5,2.0,2.5,Ses01F,Umm. Yeah.
229.08,235.98,Ses01F_impro06_F024,sad,1.5,2.0,3.0,Ses01F,"And the last time before she died, I remember she couldn't really stand, umm..."
237.53,256.48,Ses01F_impro06_F025,sad,3.0,3.5,4.5,Ses01F,"But I mean she could, but it was- so it was kind of sitting at her feet holding her up and she had these poems she had memorized.  And I remember looking up, she had curly red hair and there was this palm tree right behind her and it was like a crown growing right out of her head.  It was cool."
266.55,275.31,Ses01F_impro06_F026,sad,3.0,3.0,3.5,Ses01F,"Some, I guess.  She memorized this one, John Dunn, it's called, Death Be Not Proud. and-"
275.38,281.6,Ses01F_impro06_F027,neu,2.0,2.0,3.5,Ses01F,"There's another one, I can't remember."
282.01,311.14,Ses01F_impro06_F028,sad,3.0,3.5,4.0,Ses01F,"I remember, too, when we were--  she died at U.C.L.A.  She had brain surgery and there was not much hope to begin with, but I gave blood for her surgery, her mom and I before, so we dropped her off in the waiting room and then we were giving blood and came back.  And she, in her wheelchair, like can hardly do anything, reciting her poetry for these people like in the waiting room.  All she needs is a God damn audience.  You know?"
11.46,14.74,Ses01F_impro06_M000,sad,2.5,2.0,3.0,Ses01M,"I'm sorry, Joy."
18.49,24.91,Ses01F_impro06_M001,neu,2.5,3.0,3.5,Ses01M,Is there anything I can get you?  Do you want me to take care of anything for you or...?
25.12,26.56,Ses01F_impro06_M002,neu,2.5,2.0,3.0,Ses01M,...pick up anything?
28.97,35.02,Ses01F_impro06_M003,sad,2.5,2.0,3.5,Ses01M,You know you are welcome to stay at my house if you want to just check out for a couple days and hang out.
56.17,57.49,Ses01F_impro06_M004,neu,3.0,3.0,2.5,Ses01M,Hmm.
86.96,88.63,Ses01F_impro06_M005,neu,3.0,2.0,2.5,Ses01M,Oh.  She was there?
107.78,109.27,Ses01F_impro06_M006,neu,3.0,2.0,2.5,Ses01M,Mmhmm.
125.47,127.19,Ses01F_impro06_M007,sad,3.0,2.0,2.5,Ses01M,Yeah.
134.4,136.49,Ses01F_impro06_M008,neu,3.0,2.5,2.5,Ses01M,How long were you there for?
137.09,138.44,Ses01F_impro06_M009,neu,3.0,2.5,2.5,Ses01M,Mmhmm.
144.09,145.68,Ses01F_impro06_M010,neu,3.0,2.5,3.0,Ses01M,Oh really?
155.07,158.38,Ses01F_impro06_M011,neu,3.0,2.0,3.0,Ses01M,You ran through the sprinklers in the cemetery?
165.61,168.1,Ses01F_impro06_M012,neu,2.5,2.5,2.5,Ses01M,Is it a big cemetery?
174.39,177.15,Ses01F_impro06_M013,neu,3.0,2.5,2.5,Ses01M,"Oh, so they're like really old too, really old ones?"
219.73,221.03,Ses01F_impro06_M014,neu,3.0,2.5,2.0,Ses01M,Mmhmm.
255.35,257.31,Ses01F_impro06_M015,neu,3.0,3.0,2.5,Ses01M,Mmhmm.
262.99,266.175,Ses01F_impro06_M016,neu,3.0,2.5,2.5,Ses01M,So she wrote a lot of poetry?
82.6575,87.1025,Ses01F_impro07_M012,neu,3.0,2.5,3.0,Ses01M,Is this a Masters or a P.h.D.?  Or can you...? Nice
87.5875,90.65,Ses01F_impro07_M013,neu,4.0,2.5,2.5,Ses01M,"That's good.  Don't you have to like teach a class, too, when you do that?"
123.2575,128.04,Ses01F_impro07_M018,neu,4.0,3.0,3.0,Ses01M,"Of course, right.  That's where the real money is, being a student."
128.54,141.685,Ses01F_impro07_M019,hap,4.5,4.0,3.0,Ses01M,That's how you get the big bucks.  Are you messing with the chair? Don't ruin it.
6.77,8.46,Ses01M_impro01_F000,ang,1.5,3.5,4.5,Ses01F,Next.
8.55,10.6,Ses01M_impro01_F001,ang,2.5,3.5,3.5,Ses01F,My window is open.
39.89,43.31,Ses01M_impro01_F007,ang,2.0,3.5,4.0,Ses01F,"No, I need your ID to give you a second ID."
43.31,47.0461,Ses01M_impro01_F008,ang,1.5,4.0,4.5,Ses01F,It's really simple if you have a problem with it... Maybe you should--
61.05,63.21,Ses01M_impro01_F011,ang,2.0,4.0,4.5,Ses01F,What do you expect me to do?
65.545,67.47,Ses01M_impro01_F012,ang,2.5,2.5,4.0,Ses01F,Probably.
98.46,102.07,Ses01M_impro01_F019,ang,1.0,4.5,4.5,Ses01F,Don't raise your voice with me.
